case_id,category,case_class,actual_decision,acceptable_decisions,decision_compliant,release_eligible,analysis_complete,completeness_class,worker_status,findings_recall_pass,missing_expected_findings,unexpected_findings,latency_ms,error
ARC-BEN-001,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,253,
ARC-BEN-002,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,263,
ARC-BEN-003,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,270,
ARC-BEN-004,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,266,
ARC-BEN-005,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,264,
ARC-RISK-001,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,267,
ARC-RISK-002,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,269,
ARC-RISK-003,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,259,
ARC-RISK-004,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,259,
ARC-RISK-005,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,262,
ARC-RISK-006,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,261,
ARC-RISK-007,RISKY_ARCHIVE,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,252,
ARC-RISK-008,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,267,
ARC-RISK-009,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,279,
ARC-RISK-010,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,RESOURCE_LIMIT_FAILURE,FAILED,true,,,457,
ARC-RISK-011,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,PARSER_FAILURE,FAILED,true,,,260,
ARC-RISK-012,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,265,
FID-001,FILE_IDENTITY,RISKY,REVIEW,QUARANTINE|REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,191,
FID-002,FILE_IDENTITY,RISKY,REVIEW,QUARANTINE|REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,179,
FID-003,FILE_IDENTITY,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,122,
FID-004,FILE_IDENTITY,RISKY,BLOCK,BLOCK,true,false,false,OTHER_FAIL_CLOSED,SUCCESS,true,,,109,
FID-005,FILE_IDENTITY,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,172,
OFF-BEN-001,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,264,
OFF-BEN-002,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,254,
OFF-BEN-003,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,254,
OFF-BEN-004,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,244,
OFF-BEN-005,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,259,
OFF-BEN-006,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,248,
OFF-RISK-001,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,281,
OFF-RISK-002,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,284,
OFF-RISK-003,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,315,
OFF-RISK-004,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,320,
OFF-RISK-005,RISKY_OFFICE,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,252,
OFF-RISK-006,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,266,
OFF-RISK-007,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,254,
OFF-RISK-008,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,276,
OFF-RISK-009,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,251,
OFF-RISK-010,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,PARSER_FAILURE,FAILED,true,,,257,
PDF-BEN-001,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,181,
PDF-BEN-002,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,181,
PDF-BEN-003,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,186,
PDF-BEN-004,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,191,
PDF-RISK-001,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,193,
PDF-RISK-002,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,185,
PDF-RISK-003,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,192,
PDF-RISK-004,RISKY_PDF,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,189,
PDF-RISK-005,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,201,
PDF-RISK-006,RISKY_PDF,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,182,
PDF-RISK-007,RISKY_PDF,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,187,
PDF-RISK-008,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,186,
PDF-RISK-009,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,186,
PDF-RISK-010,RISKY_PDF,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,184,
