case_id,category,case_class,actual_decision,acceptable_decisions,decision_compliant,release_eligible,analysis_complete,completeness_class,worker_status,findings_recall_pass,missing_expected_findings,unexpected_findings,latency_ms,error
ARC-BEN-001,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,271,
ARC-BEN-002,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,273,
ARC-BEN-003,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,262,
ARC-BEN-004,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,261,
ARC-BEN-005,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,252,
ARC-RISK-001,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,261,
ARC-RISK-002,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,265,
ARC-RISK-003,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,271,
ARC-RISK-004,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,265,
ARC-RISK-005,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,265,
ARC-RISK-006,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,270,
ARC-RISK-007,RISKY_ARCHIVE,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,264,
ARC-RISK-008,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,300,
ARC-RISK-009,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,288,
ARC-RISK-010,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,RESOURCE_LIMIT_FAILURE,FAILED,true,,,452,
ARC-RISK-011,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,PARSER_FAILURE,FAILED,true,,,259,
ARC-RISK-012,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,268,
FID-001,FILE_IDENTITY,RISKY,REVIEW,QUARANTINE|REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,184,
FID-002,FILE_IDENTITY,RISKY,REVIEW,QUARANTINE|REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,180,
FID-003,FILE_IDENTITY,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,119,
FID-004,FILE_IDENTITY,RISKY,BLOCK,BLOCK,true,false,false,OTHER_FAIL_CLOSED,SUCCESS,true,,,115,
FID-005,FILE_IDENTITY,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,172,
OFF-BEN-001,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,275,
OFF-BEN-002,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,255,
OFF-BEN-003,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,253,
OFF-BEN-004,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,244,
OFF-BEN-005,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,260,
OFF-BEN-006,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,254,
OFF-RISK-001,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,294,
OFF-RISK-002,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,301,
OFF-RISK-003,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,291,
OFF-RISK-004,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,296,
OFF-RISK-005,RISKY_OFFICE,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,250,
OFF-RISK-006,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,262,
OFF-RISK-007,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,252,
OFF-RISK-008,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,281,
OFF-RISK-009,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,241,
OFF-RISK-010,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,PARSER_FAILURE,FAILED,true,,,260,
PDF-BEN-001,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,186,
PDF-BEN-002,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,190,
PDF-BEN-003,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,180,
PDF-BEN-004,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,188,
PDF-RISK-001,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,196,
