case_id,category,case_class,actual_decision,acceptable_decisions,decision_compliant,release_eligible,analysis_complete,completeness_class,worker_status,findings_recall_pass,missing_expected_findings,unexpected_findings,latency_ms,error
ARC-BEN-001,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,386,
ARC-BEN-002,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,355,
ARC-BEN-003,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,340,
ARC-BEN-004,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,341,
ARC-BEN-005,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,499,
ARC-RISK-001,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,342,
ARC-RISK-002,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,333,
ARC-RISK-003,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,333,
ARC-RISK-004,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,318,
ARC-RISK-005,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,331,
ARC-RISK-006,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,317,
ARC-RISK-007,RISKY_ARCHIVE,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,333,
ARC-RISK-008,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,331,
ARC-RISK-009,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,334,
ARC-RISK-010,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,RESOURCE_LIMIT_FAILURE,FAILED,true,,,590,
ARC-RISK-011,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,PARSER_FAILURE,FAILED,true,,,329,
ARC-RISK-012,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,326,
FID-001,FILE_IDENTITY,RISKY,REVIEW,QUARANTINE|REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,221,
FID-002,FILE_IDENTITY,RISKY,REVIEW,QUARANTINE|REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,229,
FID-003,FILE_IDENTITY,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,152,
FID-004,FILE_IDENTITY,RISKY,BLOCK,BLOCK,true,false,false,OTHER_FAIL_CLOSED,SUCCESS,true,,,136,
FID-005,FILE_IDENTITY,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,268,
OFF-BEN-001,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,328,
OFF-BEN-002,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,325,
OFF-BEN-003,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,343,
OFF-BEN-004,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,315,
OFF-BEN-005,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,335,
OFF-BEN-006,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,326,
OFF-RISK-001,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,346,
OFF-RISK-002,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,376,
OFF-RISK-003,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,350,
OFF-RISK-004,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,355,
OFF-RISK-005,RISKY_OFFICE,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,298,
