case_id,category,case_class,actual_decision,acceptable_decisions,decision_compliant,release_eligible,analysis_complete,completeness_class,worker_status,findings_recall_pass,missing_expected_findings,unexpected_findings,latency_ms,error
ARC-BEN-001,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,359,
ARC-BEN-002,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,337,
ARC-BEN-003,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,336,
ARC-BEN-004,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,331,
ARC-BEN-005,BENIGN_ARCHIVE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,341,
ARC-RISK-001,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,366,
ARC-RISK-002,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,333,
ARC-RISK-003,RISKY_ARCHIVE,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,337,
ARC-RISK-004,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,345,
ARC-RISK-005,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,328,
ARC-RISK-006,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,341,
ARC-RISK-007,RISKY_ARCHIVE,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,333,
ARC-RISK-008,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,342,
ARC-RISK-009,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,328,
ARC-RISK-010,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,RESOURCE_LIMIT_FAILURE,FAILED,true,,,621,
ARC-RISK-011,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,PARSER_FAILURE,FAILED,true,,,330,
ARC-RISK-012,RISKY_ARCHIVE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,349,
FID-001,FILE_IDENTITY,RISKY,REVIEW,QUARANTINE|REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,243,
FID-002,FILE_IDENTITY,RISKY,REVIEW,QUARANTINE|REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,232,
FID-003,FILE_IDENTITY,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,159,
FID-004,FILE_IDENTITY,RISKY,BLOCK,BLOCK,true,false,false,OTHER_FAIL_CLOSED,SUCCESS,true,,,168,
FID-005,FILE_IDENTITY,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,232,
OFF-BEN-001,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,327,
OFF-BEN-002,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,331,
OFF-BEN-003,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,333,
OFF-BEN-004,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,301,
OFF-BEN-005,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,355,
OFF-BEN-006,BENIGN_OFFICE,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,313,
OFF-RISK-001,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,369,
OFF-RISK-002,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,414,
OFF-RISK-003,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,410,
OFF-RISK-004,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,432,
OFF-RISK-005,RISKY_OFFICE,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,343,
OFF-RISK-006,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,313,
OFF-RISK-007,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,316,
OFF-RISK-008,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,394,
OFF-RISK-009,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,316,
OFF-RISK-010,RISKY_OFFICE,RISKY,QUARANTINE,QUARANTINE,true,false,false,PARSER_FAILURE,FAILED,true,,,327,
PDF-BEN-001,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,249,
PDF-BEN-002,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,236,
PDF-BEN-003,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,240,
PDF-BEN-004,BENIGN_PDF,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,236,
PDF-RISK-001,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,273,
PDF-RISK-002,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,230,
PDF-RISK-003,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,234,
PDF-RISK-004,RISKY_PDF,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,242,
PDF-RISK-005,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,238,
PDF-RISK-006,RISKY_PDF,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,271,
PDF-RISK-007,RISKY_PDF,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,246,
PDF-RISK-008,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,241,
PDF-RISK-009,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,235,
PDF-RISK-010,RISKY_PDF,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,231,
PDF-RISK-011,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,259,
PDF-RISK-012,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,false,PARSER_FAILURE,FAILED,true,,,239,
YAR-001,YARA,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,153,
YAR-002,YARA,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,229,
YAR-003,YARA,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,150,
YAR-004,YARA,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,171,
YAR-005,YARA,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,176,
